player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0027688,C.McCoy,2022,15,-0.018543709583305,0.03689268804741395,45,1331
00-0027754,J.Skelton,2012,14,-0.114574529099591,0.039481344653384084,20,646
00-0027796,J.Webb,2017,14,-0.0661708499966006,0.05349181110960723,13,202
00-0027854,S.Bradford,2018,3,0.0290318566762628,0.0341169351626432,83,3159
00-0027876,T.Tebow,2012,15,-0.0659387499804698,0.047154597372560614,25,451
00-0027939,C.Newton,2021,16,-0.007647688962498,0.03649985348845527,153,5044
00-0027946,J.Locker,2014,15,-0.0234548160025062,0.039938344347252304,30,767
00-0027948,B.Gabbert,2023,18,-0.1308965716530613,0.04062370919572953,64,1712
00-0027950,C.Ponder,2014,5,-0.0351937179547331,0.03642249503052886,37,1154
00-0027973,A.Dalton,2025,8,0.0091951724624939,0.03628376867280878,180,6175
00-0027974,C.Kaepernick,2016,17,-0.0022220839582709,0.035181512108431325,71,2038
00-0028012,R.Mallett,2017,8,-0.0348009759667947,0.04734181878361033,16,350
00-0028090,T.Yates,2017,17,-0.0661679511843603,0.045828853201401405,22,414
00-0028118,T.Taylor,2025,14,0.0033719570231922,0.03854381501389036,84,2114
00-0028595,S.Tolzien,2017,1,-0.0645367469873016,0.055117714320203806,7,155
00-0028825,T.Pryor,2016,6,-0.0426363270266498,0.04778386551799781,17,342
00-0028957,A.Davis,2015,17,-0.0409328479430323,0.04330114712804269,12,416
00-0028986,C.Keenum,2023,16,-0.0107186073927224,0.037196301018578445,76,2453
00-0029234,K.Moore,2015,17,0.0034722695098831,0.0576018007065517,3,109
00-0029263,R.Wilson,2025,10,0.0085153418882183,0.03612384594934211,222,7217
00-0029531,R.Lindley,2015,17,-0.1342426044892455,0.04660638286141717,11,324
00-0029567,N.Foles,2022,17,-0.0118886342236306,0.03473432802587953,74,2438
00-0029604,K.Cousins,2025,18,0.0694511609530072,0.03499417359879642,179,6416
00-0029665,R.Griffin,2020,12,-0.0090195303142053,0.04083012449194467,54,1419
00-0029668,A.Luck,2018,19,0.1057416845097557,0.033303118033573074,94,3805
00-0029677,B.Weeden,2015,16,-0.0169759267354429,0.038204465099821776,33,1029
00-0029682,B.Osweiler,2018,14,-0.0286920143586406,0.03629519394697595,45,1309
00-0029701,R.Tannehill,2023,18,0.0529970064895797,0.03569300086815481,158,5289
00-0030419,M.McGloin,2016,17,-0.0224306632554836,0.049359856720054406,13,287
