player_id,season,player_name,leaf_rating,leaf_uncertainty,games_played,attempts,raw_epa
00-0027854,2016,S.Bradford,-0.030269864036603172,0.06966573832270681,78,590.0,0.07730737
00-0027854,2017,S.Bradford,-0.03769937879244031,0.06966554165498781,80,48.0,0.050264657
00-0027854,2018,S.Bradford,-0.11546429876167258,0.06966533618919009,83,87.0,-0.35166228
00-0027874,2011,D.Thomas,-0.6926987221526077,0.14916330304908842,1,1.0,-0.44630745
00-0027876,2010,T.Tebow,0.328741508318106,0.5041299832958636,4,88.0,0.43159628
00-0027876,2011,T.Tebow,0.021663161221820375,0.27396588103594444,18,357.0,-0.053356253
00-0027876,2012,T.Tebow,-0.053541976137388356,0.24153448066544478,25,10.0,-0.18839744
00-0027880,2010,J.Best,-0.6048525913326818,0.14916330304908842,1,1.0,-0.39375827
00-0027891,2012,G.Tate,3.059193829558781,0.14916330304908842,1,1.0,3.19385
00-0027891,2017,G.Tate,2.0218505031181326,0.10624169930569174,2,1.0,1.053
00-0027891,2020,G.Tate,1.3616208315695943,0.07714586868743051,4,2.0,0.93269914
00-0027902,2016,D.Bryant,1.647041183621812,0.14916330304908842,1,1.0,1.7572321
00-0027912,2012,D.Alexander,-0.7829723924499105,0.14916330304908842,1,1.0,-0.6590914
00-0027939,2011,C.Newton,0.039478818035236146,0.08086434009620648,16,555.0,0.12092613
00-0027939,2012,C.Newton,0.060002534396875216,0.07433492813530555,32,521.0,0.13814923
00-0027939,2013,C.Newton,0.006762407379942817,0.07375775005812639,49,546.0,0.107719935
00-0027939,2014,C.Newton,-0.0735199779679032,0.07371318525782461,65,558.0,-0.036647953
00-0027939,2015,C.Newton,0.05220132103629921,0.07370897087792823,84,628.0,0.16956021
00-0027939,2016,C.Newton,-0.07508098015925929,0.07370873775957337,99,550.0,-0.045356486
00-0027939,2017,C.Newton,-0.07023344449852575,0.07370871228841307,116,573.0,0.009556137
00-0027939,2018,C.Newton,-0.045652729279103965,0.07370871038321321,130,504.0,0.07331234
00-0027939,2019,C.Newton,-0.05354689897978795,0.07370871031403402,132,95.0,-0.06975732
00-0027939,2020,C.Newton,-0.15527317130410645,0.07370871013673316,147,400.0,-0.109130956
00-0027939,2021,C.Newton,-0.24849304955838317,0.0737087101242762,153,137.0,-0.3052926
00-0027943,2013,P.Peterson,0.01795816172772491,0.10624169930569174,2,2.0,0.075420976
00-0027946,2011,J.Locker,-0.08630633664757037,0.17174985296177203,5,71.0,-0.15348172
00-0027946,2012,J.Locker,-0.16382612849825376,0.10722297019335844,16,339.0,-0.1665179
00-0027946,2013,J.Locker,-0.14907323684778975,0.09749795831375857,23,199.0,-0.048937537
00-0027946,2014,J.Locker,-0.2100087610263872,0.09327190354641952,30,160.0,-0.27071875
00-0027948,2011,B.Gabbert,-0.2258746547270557,0.1157367408261623,15,453.0,-0.20577168
00-0027948,2012,B.Gabbert,-0.21896996006209057,0.10110106768041772,25,304.0,-0.18058415
00-0027948,2013,B.Gabbert,-0.27212724612286887,0.09915602296452705,28,98.0,-0.5967888
00-0027948,2014,B.Gabbert,-0.21582545766675684,0.09863912405333045,29,7.0,0.5701579
00-0027948,2015,B.Gabbert,-0.19053746462517862,0.09602811812240931,37,307.0,-0.08398408
00-0027948,2016,B.Gabbert,-0.2134481450192735,0.09511711938882307,43,171.0,-0.21116006
00-0027948,2017,B.Gabbert,-0.24767575868602332,0.09469578606164783,48,195.0,-0.26185483
00-0027948,2018,B.Gabbert,-0.25352439081400063,0.09441143765436075,54,106.0,-0.2239256
00-0027948,2020,B.Gabbert,-0.2703958199291433,0.09435014888231077,56,17.0,-0.24266404
00-0027948,2021,B.Gabbert,-0.3100721215082078,0.094243080136917,61,12.0,-0.20358536
00-0027948,2022,B.Gabbert,-0.29265089167762465,0.09422762844307767,62,8.0,0.026905507
00-0027948,2023,B.Gabbert,-0.35659137147870523,0.09420119391700767,64,36.0,-0.8228181
00-0027950,2011,C.Ponder,-0.2727050144010325,0.10354587153646087,11,321.0,-0.22200175
00-0027950,2012,C.Ponder,-0.18157797664574912,0.08222604667615768,27,517.0,-0.048745338
00-0027950,2013,C.Ponder,-0.2030092871470721,0.08018487942258222,36,266.0,-0.12123692
00-0027950,2014,C.Ponder,-0.20871326194407222,0.08006871184016655,37,50.0,-0.38228264
00-0027973,2011,A.Dalton,-0.04662660976595359,0.09573901611077773,17,587.0,-0.015171449
00-0027973,2012,A.Dalton,-0.09272188097659742,0.08425198850257959,34,606.0,-0.014754241
00-0027973,2013,A.Dalton,-0.011038936487004136,0.08266281849455236,51,670.0,0.109644875
00-0027973,2014,A.Dalton,-0.04940031079098238,0.08242748421197205,68,541.0,0.007967067
00-0027973,2015,A.Dalton,0.11362857539499463,0.0823958064114445,81,406.0,0.33098966
00-0027973,2016,A.Dalton,0.07000270515647163,0.08238775129093506,97,604.0,0.12044322
00-0027973,2017,A.Dalton,-0.03819754241361245,0.08238640336656572,113,535.0,-0.065893754
00-0027973,2018,A.Dalton,-0.03664018992110581,0.08238621172267908,124,387.0,0.034978665
00-0027973,2019,A.Dalton,-0.06341292187620806,0.08238615100888753,137,567.0,-0.03863913
00-0027973,2020,A.Dalton,-0.09569771463015385,0.08238613788932107,148,357.0,-0.028415203
00-0027973,2021,A.Dalton,-0.04838057560787442,0.08238613468302258,156,257.0,0.15401982
00-0027973,2022,A.Dalton,-0.046024460975354106,0.08238613292783634,170,404.0,0.04107506
00-0027973,2023,A.Dalton,-0.04109240456557607,0.08238613287873602,171,61.0,0.074562766
00-0027973,2024,A.Dalton,-0.14580287377086149,0.0823861326758379,177,168.0,-0.2803171
00-0027973,2025,A.Dalton,-0.08754051032116682,0.08238613261532898,180,45.0,0.29937008
00-0027974,2011,C.Kaepernick,0.05272531036010408,0.2741331306100817,2,5.0,0.17652345
00-0027974,2012,C.Kaepernick,0.13751876581301045,0.11426590720976938,16,320.0,0.23462097
00-0027974,2013,C.Kaepernick,0.06563164787522921,0.0971879671776223,35,543.0,0.13096742
00-0027974,2014,C.Kaepernick,-0.021414190920801317,0.09518844078706254,51,530.0,0.018669903
00-0027974,2015,C.Kaepernick,-0.1325712530466927,0.09490931428356995,60,274.0,-0.24518019
00-0027974,2016,C.Kaepernick,-0.14489535027133127,0.09478729403230972,71,367.0,-0.11319165
00-0027994,2017,S.Vereen,-3.985452270988523,0.14916330304908842,1,1.0,-4.0465026
00-0028002,2011,R.Cobb,-0.5959218740247448,0.14916330304908842,1,1.0,-0.44124877
00-0028002,2017,R.Cobb,0.024106086117228642,0.10624169930569174,2,1.0,0.6066525
00-0028002,2019,R.Cobb,-0.16011179790248684,0.08770330050745664,3,1.0,-0.39894006
00-0028002,2020,R.Cobb,-0.31405146642191917,0.07714586868743051,4,1.0,-0.5173711
00-0028009,2016,D.Murray,0.8061751746433587,0.10624169930569174,2,2.0,0.92245173
00-0028012,2012,R.Mallett,-1.1575064587942667,0.5225997394697838,2,4.0,-1.5291843
00-0028012,2014,R.Mallett,-0.7220306344558649,0.3983211283509976,4,76.0,-0.0016342103
00-0028012,2015,R.Mallett,-0.35398329940033707,0.25685045947585783,11,251.0,-0.040670317
00-0028012,2016,R.Mallett,-0.4454380187099818,0.2314787556700405,14,6.0,-0.635984
00-0028012,2017,R.Mallett,-0.4118638409763311,0.2188676585435036,16,17.0,-0.10834651
00-0028052,2014,C.Shorts,1.6086311454480926,0.10624169930569174,2,2.0,1.6610494
00-0028052,2015,C.Shorts III,1.7596026115336847,0.08770330050745664,3,1.0,2.2659223
00-0028053,2012,K.Hunter,-1.5373966009727467,0.14916330304908842,1,1.0,-1.278744
00-0028064,2013,B.Powell,2.046527177154976,0.14916330304908842,1,1.0,2.2830868
