season,week,player_id,player_name,position,sacks,qb_hits,tfls,forced_fumbles,total_tackles,pressures,impact_plays,epa_against,raw_composite,career_game_number,smoothed_composite,composite_uncertainty
2020,10,00-0026564,Steve McLendon,DL,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.18325594067573547,-0.30042300540648526,9,-0.4871666583974694,0.16287794335907244
2020,11,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4495376944541931,-0.5252201739100123,10,-0.4956229951780345,0.15367000636185776
2020,12,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2533109337091446,-0.5703805621973539,11,-0.5122357878489944,0.1206965653461844
2020,14,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3902634382247925,-0.718495265910374,12,-0.5580712274181898,0.14035838243397214
2020,16,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.663503885269165,-0.4759771643384374,13,-0.539828102289356,0.14018777505700225
2020,19,00-0026564,Steve McLendon,DL,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.6409757236639658,0.5039515159885759,14,-0.3078770760053711,0.3426994363968392
2020,20,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.562134583791097,-0.4993066888017905,15,-0.350416989960131,0.34349502515859626
2020,21,00-0026564,Steve McLendon,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0274195671081543,-0.3725761508220099,16,-0.35534124792943744,0.3393038238780149
2021,1,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00927012600004673,-0.6474868308674242,17,-0.4202624885823234,0.34354391459098876
2021,2,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7593152523040771,-0.950705740088942,18,-0.5381387666949053,0.38342363468053525
2021,3,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07912939041852951,-0.523764183674291,19,-0.5349444149125466,0.3798645640968724
2021,5,00-0026564,Steve McLendon,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.7942540645599365,-0.32141375395008853,20,-0.4874931569208893,0.3825075170990934
2021,12,00-0026564,Steve McLendon,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.003129243850708,0.09599213869083618,21,-0.3578297578960614,0.4171554710287965
2021,15,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26905182655900717,-0.5871577891398283,22,-0.4087915426168985,0.40765756814412424
2021,16,00-0026564,Steve McLendon,DL,0.5,1.0,0.0,1.0,1.0,1.5,1.5,0.8628173768520355,0.904016787753313,23,-0.11705635809018486,0.5714272724026156
2021,17,00-0026564,Steve McLendon,DL,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.1772912740707397,-0.08570215381059099,24,-0.110088757139164,0.5136492190051994
2021,18,00-0026564,Steve McLendon,DL,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.1280607879161835,0.6376802671530837,25,0.056082137148002156,0.5851934000004266
2021,19,00-0026564,Steve McLendon,DL,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.33549171686172485,0.496456862414716,26,0.15394318720727188,0.6178756488360879
2020,1,00-0027662,Carlos Dunlap,DL,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.5862989649176598,0.10788393952885347,1,0.10788393952885347,
2020,2,00-0027662,Carlos Dunlap,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.7754989735161265,-0.8071548671277758,2,-0.09545801750595304,
2020,3,00-0027662,Carlos Dunlap,DL,0.0,1.0,1.0,0.0,9.0,1.0,1.0,0.45228918167677795,0.3631226926884603,3,0.006448806981694366,0.6153579454013606
2020,4,00-0027662,Carlos Dunlap,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.143083930015564,-0.8917522956389075,4,-0.19315143804510604,0.63594634009169
2020,5,00-0027662,Carlos Dunlap,DL,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.6733558177947998,0.6836094512274994,5,0.0016843151265840406,0.7068043393791156
2020,6,00-0027662,Carlos Dunlap,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7491115927696228,-0.3472024298464391,6,-0.07584607264519888,0.6396294969656834
2020,7,00-0027662,Carlos Dunlap,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.5205800533294678,-0.7162179001789297,7,-0.2181509232082502,0.622067743331251
2020,9,00-0027662,Carlos Dunlap,DL,1.5,3.0,2.0,0.0,6.0,4.5,3.5,0.741983297925729,2.6981315357862012,8,0.42991184545718336,1.1845640812540381
2020,10,00-0027662,Carlos Dunlap,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1109001636505127,0.11954505097987929,9,0.36094144668444916,1.1080723154088863
2020,11,00-0027662,Carlos Dunlap,DL,2.0,3.0,0.0,0.0,4.0,5.0,2.0,1.1718928698036406,2.557293300686227,10,0.849019636462622,1.2955388345121306
2020,12,00-0027662,Carlos Dunlap,DL,0.5,2.0,0.0,0.0,2.0,2.5,0.5,1.3025885194540023,1.0976715740858611,11,0.9042756226011196,1.3104412597796307
2020,13,00-0027662,Carlos Dunlap,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21287308633327484,-0.5796870853344872,12,0.5745061319487625,1.287471928098216
2020,15,00-0027662,Carlos Dunlap,DL,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.7274153530597687,1.1886076219182171,13,0.7109731297197525,1.3041862053056013
2020,16,00-0027662,Carlos Dunlap,DL,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5325590968132019,0.479000092712799,14,0.6594235659404295,1.2000751685360673
2020,17,00-0027662,Carlos Dunlap,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6046181917190552,0.003027353044621944,15,0.5135577408524723,1.2213567101264196
2020,18,00-0027662,Carlos Dunlap,DL,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.2736322258909543,0.1569968393581554,16,0.4343219849648463,1.1854961739910015
